epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.148,2.77588,2.80555,3.16754,0.55613,0.20257,0.24919,0.08645,2.23848,2.31559,2.91786,0.0703093,0.00329897,0.00329897
2,160.294,1.9105,1.50157,2.34956,0.5521,0.62582,0.60198,0.29109,1.70591,1.30294,2.46749,0.0402436,0.00656664,0.00656664
3,211.455,1.65898,1.18135,2.0973,0.66426,0.73093,0.7009,0.36845,1.71106,1.31036,2.6096,0.010112,0.00976832,0.00976832
4,262.418,1.52736,0.99015,1.96972,0.79637,0.77304,0.79144,0.44043,1.62407,1.05025,2.46218,0.009703,0.009703,0.009703
5,313.136,1.45673,0.86152,1.88638,0.80476,0.83325,0.86171,0.53641,1.44841,0.88847,2.21409,0.009604,0.009604,0.009604
6,364.352,1.40281,0.77624,1.83085,0.93542,0.87955,0.90672,0.59965,1.34032,0.72595,2.06371,0.009505,0.009505,0.009505
7,415.992,1.36896,0.73639,1.79387,0.8949,0.90923,0.90046,0.57812,1.40994,0.84442,2.12185,0.009406,0.009406,0.009406
8,467.213,1.34129,0.70226,1.75937,0.90679,0.90416,0.91494,0.62414,1.30786,0.71273,1.99659,0.009307,0.009307,0.009307
9,518.806,1.32271,0.68443,1.7544,0.92666,0.87762,0.91277,0.61927,1.31802,0.69946,2.05494,0.009208,0.009208,0.009208
10,570.666,1.30627,0.66173,1.73252,0.87256,0.87865,0.90168,0.62298,1.27679,0.73006,1.98295,0.009109,0.009109,0.009109
11,622.636,1.28465,0.64061,1.71348,0.89622,0.8959,0.91334,0.63598,1.26767,0.67644,1.97267,0.00901,0.00901,0.00901
12,675.46,1.27225,0.63836,1.70631,0.90703,0.91349,0.91943,0.64061,1.27935,0.65984,1.98357,0.008911,0.008911,0.008911
13,727.78,1.26808,0.62557,1.69511,0.91563,0.92521,0.92236,0.64865,1.25057,0.65292,1.93997,0.008812,0.008812,0.008812
